C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT,O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT,L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
37,437932211,281174195,8,976120545,-91775,373412815,601784656,1,37,777177650,13125181,35064,527479233,736472541,0,881976922,1,156,4,1,1700,1795455,4,2,146356532,777177650,35135,35105,35144,749443834,86983390,75898822
37,437932211,281174195,8,976120545,-91775,373412815,601784656,1,37,777177650,13125181,35064,527479233,736472541,0,881976922,1,68,9,2,3600,3485016,9,6,146356532,777177650,35165,35121,35173,862871618,431484053,62603033
37,437932211,281174195,8,976120545,-91775,373412815,601784656,1,37,777177650,13125181,35064,527479233,736472541,0,881976922,1,64,5,3,800,771248,10,2,146356532,777177650,35091,35127,35093,862871618,1001693018,1024902652
37,437932211,281174195,8,976120545,-91775,373412815,601784656,1,37,777177650,13125181,35064,527479233,736472541,0,881976922,1,3,6,4,2800,2528400,9,6,146356532,777177650,35174,35152,35199,106211174,365042431,949624648
37,437932211,281174195,8,976120545,-91775,373412815,601784656,1,37,777177650,13125181,35064,527479233,736472541,0,881976922,1,25,8,5,2400,2220048,10,4,146356532,777177650,35152,35136,35154,106211174,944913022,41768434
37,437932211,281174195,8,976120545,-91775,373412815,601784656,1,37,777177650,13125181,35064,527479233,736472541,0,881976922,1,16,3,6,3200,2931232,7,2,146356532,777177650,35092,35100,35096,749443834,431484053,909628362
79,620373923,918253789,15,1003789897,512128,797027742,999752886,2,79,777177650,4018329,35398,382018914,1004416405,0,961696594,2,107,2,1,3800,3826980,0,5,146356532,777177650,35456,35442,35461,862871618,250142940,894083619
124,95309565,450083374,18,412656442,184249,701940545,267093847,3,124,330563436,16088276,34254,527479233,780887738,0,452213607,3,5,2,1,4500,4072500,6,0,378580043,330563436,34365,34336,34386,106211174,365042431,647289295
124,95309565,450083374,18,412656442,184249,701940545,267093847,3,124,330563436,16088276,34254,527479233,780887738,0,452213607,3,20,10,2,4900,4508098,10,0,378580043,330563436,34280,34321,34295,862871618,250142940,667742938
124,95309565,450083374,18,412656442,184249,701940545,267093847,3,124,330563436,16088276,34254,527479233,780887738,0,452213607,3,129,8,3,2700,2778624,6,7,449642453,330563436,34348,34293,34355,749443834,407419891,808837144
124,95309565,450083374,18,412656442,184249,701940545,267093847,3,124,330563436,16088276,34254,527479233,780887738,0,452213607,3,30,5,4,200,186006,1,6,449642453,330563436,34305,34339,34333,106211174,86983390,492603255
124,95309565,450083374,18,412656442,184249,701940545,267093847,3,124,330563436,16088276,34254,527479233,780887738,0,452213607,3,184,5,5,2800,3035704,4,0,378580043,330563436,34315,34342,34333,862871618,944913022,84734141
124,95309565,450083374,18,412656442,184249,701940545,267093847,3,124,330563436,16088276,34254,527479233,780887738,0,452213607,3,63,8,6,2600,2503956,10,2,449642453,330563436,34269,34319,34275,862871618,250142940,175384483
137,623328853,1057340552,16,701050650,783830,750198692,1000140840,4,137,777177650,3108479,34981,527479233,700173790,0,741350037,4,89,10,1,3000,2967240,3,8,146356532,777177650,35072,35045,35080,749443834,1001693018,32513563
46,1031476016,349807479,6,214799933,574459,701940545,715635951,5,46,330563436,8661525,34543,527479233,29894176,0,354689296,5,109,10,1,1500,1513650,2,4,378580043,330563436,34636,34575,34656,106211174,365042431,830457533
46,1031476016,349807479,6,214799933,574459,701940545,715635951,5,46,330563436,8661525,34543,527479233,29894176,0,354689296,5,124,5,2,2600,2662712,7,8,378580043,330563436,34621,34600,34624,106211174,944913022,601291040
46,1031476016,349807479,6,214799933,574459,701940545,715635951,5,46,330563436,8661525,34543,527479233,29894176,0,354689296,5,38,4,3,5000,4690150,8,3,449642453,330563436,34552,34618,34570,749443834,365042431,893772133
56,1002271304,628821590,10,666136321,653086,373412815,658726857,6,56,330563436,3646855,33653,483467692,921226874,0,489251134,6,140,6,1,3700,3848518,8,3,449642453,330563436,33719,33737,33724,862871618,86983390,987992796
40,159190715,789937437,3,112917505,133530,1028181460,48821631,7,40,777177650,17148873,35072,919150108,315543346,0,541788168,7,183,4,1,1200,1299816,7,3,146356532,777177650,35190,35135,35217,862871618,944913022,911541681
40,159190715,789937437,3,112917505,133530,1028181460,48821631,7,40,777177650,17148873,35072,919150108,315543346,0,541788168,7,146,3,2,900,941526,8,8,146356532,777177650,35094,35124,35112,862871618,407419891,81775608
40,159190715,789937437,3,112917505,133530,1028181460,48821631,7,40,777177650,17148873,35072,919150108,315543346,0,541788168,7,95,8,3,4600,4577414,10,7,146356532,777177650,35077,35149,35096,785149710,431484053,1045527475
40,159190715,789937437,3,112917505,133530,1028181460,48821631,7,40,777177650,17148873,35072,919150108,315543346,0,541788168,7,164,5,4,2800,2979648,3,4,146356532,777177650,35143,35161,35173,106211174,944913022,940145424
40,159190715,789937437,3,112917505,133530,1028181460,48821631,7,40,777177650,17148873,35072,919150108,315543346,0,541788168,7,152,4,5,3800,3998169,8,1,146356532,777177650,35104,35117,35111,749443834,86983390,612205682
40,159190715,789937437,3,112917505,133530,1028181460,48821631,7,40,777177650,17148873,35072,919150108,315543346,0,541788168,7,80,10,6,3500,3430280,6,3,146356532,777177650,35078,35116,35084,862871618,944913022,464062975
40,159190715,789937437,3,112917505,133530,1028181460,48821631,7,40,777177650,17148873,35072,919150108,315543346,0,541788168,7,158,3,7,500,529075,4,2,146356532,777177650,35103,35148,35106,106211174,944913022,47859270
131,177759885,35988995,11,534137668,859553,750198692,317345255,32,131,777177650,11692300,34894,919150108,901823498,0,589468055,32,83,4,1,2800,2752624,5,8,146356532,777177650,34993,34936,34996,862871618,86983390,1015304308
131,177759885,35988995,11,534137668,859553,750198692,317345255,32,131,777177650,11692300,34894,919150108,901823498,0,589468055,32,198,10,2,3200,3514208,2,0,146356532,777177650,34923,34977,34936,785149710,365042431,289343564
131,177759885,35988995,11,534137668,859553,750198692,317345255,32,131,777177650,11692300,34894,919150108,901823498,0,589468055,32,45,2,3,200,189008,9,2,146356532,777177650,34916,34977,34932,749443834,365042431,1010253260
131,177759885,35988995,11,534137668,859553,750198692,317345255,32,131,777177650,11692300,34894,919150108,901823498,0,589468055,32,3,8,4,400,361200,9,3,146356532,777177650,34913,34971,34943,106211174,1001693018,758019093
131,177759885,35988995,11,534137668,859553,750198692,317345255,32,131,777177650,11692300,34894,919150108,901823498,0,589468055,32,86,7,5,4400,4338752,5,6,146356532,777177650,34937,34929,34954,749443834,365042431,252798257
131,177759885,35988995,11,534137668,859553,750198692,317345255,32,131,777177650,11692300,34894,919150108,901823498,0,589468055,32,12,6,6,600,547206,4,3,146356532,777177650,34899,34963,34903,785149710,250142940,296901992
67,285920503,471608704,9,357303848,816659,797027742,382762694,33,67,330563436,9979876,34267,1030545334,778902010,0,753909933,33,62,7,1,3100,2982386,9,4,449642453,330563436,34269,34320,34279,785149710,86983390,41767008
