S_SUPPKEY,S_NAME,S_ADDRESS,S_NATIONKEY,S_PHONE,S_ACCTBAL,S_COMMENT,N1_N_NATIONKEY,N1_N_NAME,N1_N_REGIONKEY,N1_N_COMMENT,N2_N_NATIONKEY,N2_N_NAME,N2_N_REGIONKEY,N2_N_COMMENT,C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
2,549623314,849027485,5,58126162,403268,958596215,5,529057841,0,890382161,0,765353165,0,31270863,29,183926022,535165640,0,240603373,761827,373412815,666015872
2,549623314,849027485,5,58126162,403268,958596215,5,529057841,0,890382161,0,765353165,0,31270863,48,1025924733,808883922,0,476584323,379250,1028181460,847474266
2,549623314,849027485,5,58126162,403268,958596215,5,529057841,0,890382161,0,765353165,0,31270863,73,434465220,889407255,0,853215548,428850,1028181460,61819317
2,549623314,849027485,5,58126162,403268,958596215,5,529057841,0,890382161,0,765353165,0,31270863,76,717203666,621526116,0,1022876051,574533,373412815,660756046
2,549623314,849027485,5,58126162,403268,958596215,5,529057841,0,890382161,0,765353165,0,31270863,80,389650020,602302662,0,655683936,738353,373412815,968924183
2,549623314,849027485,5,58126162,403268,958596215,5,529057841,0,890382161,0,765353165,0,31270863,86,570291407,1012677582,0,990841509,330632,750198692,475251850
4,829353804,938198330,15,991041614,464108,693080424,15,962519746,0,265433381,0,765353165,0,31270863,29,183926022,535165640,0,240603373,761827,373412815,666015872
4,829353804,938198330,15,991041614,464108,693080424,15,962519746,0,265433381,0,765353165,0,31270863,48,1025924733,808883922,0,476584323,379250,1028181460,847474266
4,829353804,938198330,15,991041614,464108,693080424,15,962519746,0,265433381,0,765353165,0,31270863,73,434465220,889407255,0,853215548,428850,1028181460,61819317
4,829353804,938198330,15,991041614,464108,693080424,15,962519746,0,265433381,0,765353165,0,31270863,76,717203666,621526116,0,1022876051,574533,373412815,660756046
4,829353804,938198330,15,991041614,464108,693080424,15,962519746,0,265433381,0,765353165,0,31270863,80,389650020,602302662,0,655683936,738353,373412815,968924183
4,829353804,938198330,15,991041614,464108,693080424,15,962519746,0,265433381,0,765353165,0,31270863,86,570291407,1012677582,0,990841509,330632,750198692,475251850
6,564123676,816784291,14,177982233,136579,447900922,14,188440933,0,29958364,0,765353165,0,31270863,29,183926022,535165640,0,240603373,761827,373412815,666015872
6,564123676,816784291,14,177982233,136579,447900922,14,188440933,0,29958364,0,765353165,0,31270863,48,1025924733,808883922,0,476584323,379250,1028181460,847474266
6,564123676,816784291,14,177982233,136579,447900922,14,188440933,0,29958364,0,765353165,0,31270863,73,434465220,889407255,0,853215548,428850,1028181460,61819317
6,564123676,816784291,14,177982233,136579,447900922,14,188440933,0,29958364,0,765353165,0,31270863,76,717203666,621526116,0,1022876051,574533,373412815,660756046
6,564123676,816784291,14,177982233,136579,447900922,14,188440933,0,29958364,0,765353165,0,31270863,80,389650020,602302662,0,655683936,738353,373412815,968924183
6,564123676,816784291,14,177982233,136579,447900922,14,188440933,0,29958364,0,765353165,0,31270863,86,570291407,1012677582,0,990841509,330632,750198692,475251850
1,792906294,317827973,17,971385163,575594,622797579,17,145165669,1,127423842,1,559044011,1,1004765669,3,1056800911,843088627,1,73713647,749812,701940545,880271096
1,792906294,317827973,17,971385163,575594,622797579,17,145165669,1,127423842,1,559044011,1,1004765669,14,959061040,122146912,1,339030647,526630,373412815,789218819
1,792906294,317827973,17,971385163,575594,622797579,17,145165669,1,127423842,1,559044011,1,1004765669,30,24937098,778810953,1,640184888,932101,1028181460,1025845452
1,792906294,317827973,17,971385163,575594,622797579,17,145165669,1,127423842,1,559044011,1,1004765669,59,423000473,655613612,1,237474603,345860,797027742,1021373874
1,792906294,317827973,17,971385163,575594,622797579,17,145165669,1,127423842,1,559044011,1,1004765669,106,864562228,957626520,1,147772690,328842,797027742,268933212
1,792906294,317827973,17,971385163,575594,622797579,17,145165669,1,127423842,1,559044011,1,1004765669,141,810151374,339694013,1,907072431,670614,373412815,74604703
1,792906294,317827973,17,971385163,575594,622797579,17,145165669,1,127423842,1,559044011,1,1004765669,144,754339410,533359831,1,1038063165,641731,797027742,36525151
3,458785,31140224,1,73682198,419239,154263564,1,559044011,1,1004765669,1,559044011,1,1004765669,3,1056800911,843088627,1,73713647,749812,701940545,880271096
3,458785,31140224,1,73682198,419239,154263564,1,559044011,1,1004765669,1,559044011,1,1004765669,14,959061040,122146912,1,339030647,526630,373412815,789218819
3,458785,31140224,1,73682198,419239,154263564,1,559044011,1,1004765669,1,559044011,1,1004765669,30,24937098,778810953,1,640184888,932101,1028181460,1025845452
3,458785,31140224,1,73682198,419239,154263564,1,559044011,1,1004765669,1,559044011,1,1004765669,59,423000473,655613612,1,237474603,345860,797027742,1021373874
3,458785,31140224,1,73682198,419239,154263564,1,559044011,1,1004765669,1,559044011,1,1004765669,106,864562228,957626520,1,147772690,328842,797027742,268933212
3,458785,31140224,1,73682198,419239,154263564,1,559044011,1,1004765669,1,559044011,1,1004765669,141,810151374,339694013,1,907072431,670614,373412815,74604703
3,458785,31140224,1,73682198,419239,154263564,1,559044011,1,1004765669,1,559044011,1,1004765669,144,754339410,533359831,1,1038063165,641731,797027742,36525151
8,292608994,956262271,17,801108420,762785,918253410,17,145165669,1,127423842,1,559044011,1,1004765669,3,1056800911,843088627,1,73713647,749812,701940545,880271096
8,292608994,956262271,17,801108420,762785,918253410,17,145165669,1,127423842,1,559044011,1,1004765669,14,959061040,122146912,1,339030647,526630,373412815,789218819
8,292608994,956262271,17,801108420,762785,918253410,17,145165669,1,127423842,1,559044011,1,1004765669,30,24937098,778810953,1,640184888,932101,1028181460,1025845452
8,292608994,956262271,17,801108420,762785,918253410,17,145165669,1,127423842,1,559044011,1,1004765669,59,423000473,655613612,1,237474603,345860,797027742,1021373874
8,292608994,956262271,17,801108420,762785,918253410,17,145165669,1,127423842,1,559044011,1,1004765669,106,864562228,957626520,1,147772690,328842,797027742,268933212
8,292608994,956262271,17,801108420,762785,918253410,17,145165669,1,127423842,1,559044011,1,1004765669,141,810151374,339694013,1,907072431,670614,373412815,74604703
8,292608994,956262271,17,801108420,762785,918253410,17,145165669,1,127423842,1,559044011,1,1004765669,144,754339410,533359831,1,1038063165,641731,797027742,36525151
10,327251235,437448823,24,477752411,389191,626155487,24,905006152,1,295815377,1,559044011,1,1004765669,3,1056800911,843088627,1,73713647,749812,701940545,880271096
10,327251235,437448823,24,477752411,389191,626155487,24,905006152,1,295815377,1,559044011,1,1004765669,14,959061040,122146912,1,339030647,526630,373412815,789218819
10,327251235,437448823,24,477752411,389191,626155487,24,905006152,1,295815377,1,559044011,1,1004765669,30,24937098,778810953,1,640184888,932101,1028181460,1025845452
10,327251235,437448823,24,477752411,389191,626155487,24,905006152,1,295815377,1,559044011,1,1004765669,59,423000473,655613612,1,237474603,345860,797027742,1021373874
10,327251235,437448823,24,477752411,389191,626155487,24,905006152,1,295815377,1,559044011,1,1004765669,106,864562228,957626520,1,147772690,328842,797027742,268933212
10,327251235,437448823,24,477752411,389191,626155487,24,905006152,1,295815377,1,559044011,1,1004765669,141,810151374,339694013,1,907072431,670614,373412815,74604703
10,327251235,437448823,24,477752411,389191,626155487,24,905006152,1,295815377,1,559044011,1,1004765669,144,754339410,533359831,1,1038063165,641731,797027742,36525151
1,792906294,317827973,17,971385163,575594,622797579,17,145165669,1,127423842,2,566619588,1,19420666,17,853716144,712467323,2,75361592,634,701940545,767189068
1,792906294,317827973,17,971385163,575594,622797579,17,145165669,1,127423842,2,566619588,1,19420666,39,712625845,744215504,2,406838173,626431,701940545,479922038
1,792906294,317827973,17,971385163,575594,622797579,17,145165669,1,127423842,2,566619588,1,19420666,47,551872894,828308774,2,703241257,27458,1028181460,451844934
1,792906294,317827973,17,971385163,575594,622797579,17,145165669,1,127423842,2,566619588,1,19420666,72,910204860,986932639,2,617109098,-36286,373412815,661760609
1,792906294,317827973,17,971385163,575594,622797579,17,145165669,1,127423842,2,566619588,1,19420666,92,45610451,402777091,2,462236563,118291,797027742,79287571
1,792906294,317827973,17,971385163,575594,622797579,17,145165669,1,127423842,2,566619588,1,19420666,101,457706074,107026214,2,552533557,747096,797027742,444283449
3,458785,31140224,1,73682198,419239,154263564,1,559044011,1,1004765669,2,566619588,1,19420666,17,853716144,712467323,2,75361592,634,701940545,767189068
3,458785,31140224,1,73682198,419239,154263564,1,559044011,1,1004765669,2,566619588,1,19420666,39,712625845,744215504,2,406838173,626431,701940545,479922038
3,458785,31140224,1,73682198,419239,154263564,1,559044011,1,1004765669,2,566619588,1,19420666,47,551872894,828308774,2,703241257,27458,1028181460,451844934
3,458785,31140224,1,73682198,419239,154263564,1,559044011,1,1004765669,2,566619588,1,19420666,72,910204860,986932639,2,617109098,-36286,373412815,661760609
3,458785,31140224,1,73682198,419239,154263564,1,559044011,1,1004765669,2,566619588,1,19420666,92,45610451,402777091,2,462236563,118291,797027742,79287571
3,458785,31140224,1,73682198,419239,154263564,1,559044011,1,1004765669,2,566619588,1,19420666,101,457706074,107026214,2,552533557,747096,797027742,444283449
8,292608994,956262271,17,801108420,762785,918253410,17,145165669,1,127423842,2,566619588,1,19420666,17,853716144,712467323,2,75361592,634,701940545,767189068
8,292608994,956262271,17,801108420,762785,918253410,17,145165669,1,127423842,2,566619588,1,19420666,39,712625845,744215504,2,406838173,626431,701940545,479922038
8,292608994,956262271,17,801108420,762785,918253410,17,145165669,1,127423842,2,566619588,1,19420666,47,551872894,828308774,2,703241257,27458,1028181460,451844934
